time_s,amplitude
0.727,-0.034273
0.728,-0.038743
0.729,-0.040531
0.73,-0.042915
0.731,-0.045002
0.732,-0.037253
0.733,-0.034869
0.734,-0.033975
0.735,-0.02265
0.736,-0.0074506
0.737,0.0062585
0.738,0.0098348
0.739,0.0074506
0.74,0.0047684
0.741,-0.0014901
0.742,-0.010431
0.743,-0.01967
0.744,-0.030696
0.745,-0.036955
0.746,-0.039637
0.747,-0.050366
0.748,-0.060797
0.749,-0.060499
0.75,-0.047684
0.751,-0.028312
0.752,-0.018775
0.753,-0.011921
0.754,-0.0032783
0.755,0.0077486
0.756,0.018179
0.757,0.014901
0.758,0.012815
0.759,0.011325
0.76,-0.0026822
0.761,-0.017583
0.762,-0.026524
0.763,-0.029504
0.764,-0.02414
0.765,-0.017583
0.766,-0.019372
0.767,-0.021756
0.768,-0.019073
0.769,-0.010729
0.77,-0.0068545
0.771,-0.0095367
0.772,-0.0062585
0.773,-0.0038743
0.774,-0.0068545
0.775,-0.014007
0.776,-0.02414
0.777,-0.02414
0.778,-0.02116
0.779,-0.022054
0.78,-0.024736
0.781,-0.02563
0.782,-0.013113
0.783,-0.0020862
0.784,-0.00029802
0.785,0.0053644
0.786,0.015199
0.787,0.028014
0.788,0.032485
0.789,0.025332
0.79,0.015795
0.791,0.0092387
0.792,0.0062585
0.793,-0.0029802
0.794,-0.012219
0.795,-0.01967
0.796,-0.026524
0.797,-0.023544
0.798,-0.016689
0.799,-0.014603
0.8,-0.012517
0.801,-0.013113
0.802,-0.014901
0.803,-0.012219
0.804,-0.016093
0.805,-0.024736
0.806,-0.02861
0.807,-0.02861
0.808,-0.026822
0.809,-0.028014
0.81,-0.033379
0.811,-0.039041
0.812,-0.039935
0.813,-0.044107
0.814,-0.049174
0.815,-0.049174
0.816,-0.050664
0.817,-0.046492
0.818,-0.045598
0.819,-0.050962
0.82,-0.045896
0.821,-0.037253
0.822,-0.032485
0.823,-0.029802
0.824,-0.02861
0.825,-0.023842
0.826,-0.016987
0.827,-0.012815
0.828,-0.0062585
0.829,0.0
0.83,0.0047684
0.831,0.0092387
0.832,0.0092387
0.833,0.0056624
0.834,0.00089407
0.835,-0.0047684
0.836,-0.014603
0.837,-0.02414
0.838,-0.0301
0.839,-0.032187
0.84,-0.036657
0.841,-0.053048
0.842,-0.064969
0.843,-0.065863
0.844,-0.063479
0.845,-0.058413
0.846,-0.05275
0.847,-0.05126
0.848,-0.053346
0.849,-0.050664
0.85,-0.038445
0.851,-0.026822
0.852,-0.020862
0.853,-0.017285
0.854,-0.018775
0.855,-0.015795
0.856,-0.014603
0.857,-0.018775
0.858,-0.018179
0.859,-0.022054
0.86,-0.026822
0.861,-0.034273
0.862,-0.046492
0.863,-0.05573
0.864,-0.059009
0.865,-0.055134
0.866,-0.054538
0.867,-0.056922
0.868,-0.060499
0.869,-0.05573
0.87,-0.047684
0.871,-0.049472
0.872,-0.042319
0.873,-0.031888
0.874,-0.026226
0.875,-0.020266
0.876,-0.017285
0.877,-0.013709
0.878,-0.0089407
0.879,-0.0083447
0.88,-0.013411
0.881,-0.016093
0.882,-0.01967
0.883,-0.029206
0.884,-0.040233
0.885,-0.050068
0.886,-0.049472
0.887,-0.042319
0.888,-0.036359
0.889,-0.03159
0.89,-0.024438
0.891,-0.0074506
0.892,0.015199
0.893,0.029802
0.894,0.039041
0.895,0.047684
0.896,0.05424
0.897,0.057518
0.898,0.053048
0.899,0.045896
0.9,0.041127
0.901,0.035763
0.902,0.030398
0.903,0.020266
0.904,0.0071526
0.905,0.00029802
0.906,-0.0035763
0.907,-0.0017881
0.908,0.0038743
0.909,0.0050664
0.91,0.0077486
0.911,0.0098348
0.912,0.014007
0.913,0.018477
0.914,0.020266
0.915,0.01967
0.916,0.016987
0.917,0.016391
0.918,0.011325
0.919,0.0080466
0.92,0.0059605
0.921,-0.0026822
0.922,-0.0056624
0.923,-0.0062585
0.924,-0.010729
0.925,-0.019968
0.926,-0.027716
0.927,-0.033975
0.928,-0.044703
0.929,-0.049472
0.93,-0.053942
0.931,-0.063181
0.932,-0.067949
0.933,-0.074804
0.934,-0.079274
0.935,-0.076592
0.936,-0.069737
0.937,-0.055134
0.938,-0.040233
0.939,-0.032485
0.94,-0.033379
0.941,-0.031888
0.942,-0.022054
0.943,-0.014007
0.944,-0.012219
0.945,-0.019968
0.946,-0.022054
0.947,-0.017583
0.948,-0.021458
0.949,-0.02116
0.95,-0.014603
0.951,-0.0086427
0.952,-0.0065565
0.953,-0.0089407
0.954,-0.0068545
0.955,-0.0035763
0.956,-0.0020862
0.957,0.00029802
0.958,-0.00089407
0.959,-0.0014901
0.96,-0.011027
0.961,-0.021756
0.962,-0.02265
0.963,-0.026524
0.964,-0.028014
0.965,-0.030398
0.966,-0.034571
0.967,-0.029802
0.968,-0.023842
0.969,-0.016689
0.97,-0.0053644
0.971,0.0029802
0.972,0.014007
0.973,0.024736
0.974,0.023246
0.975,0.016391
0.976,0.0095367
0.977,0.0011921
0.978,-0.0062585
0.979,-0.016391
0.98,-0.031292
0.981,-0.041127
0.982,-0.039637
0.983,-0.039637
0.984,-0.045002
0.985,-0.045598
0.986,-0.037551
0.987,-0.023246
0.988,-0.014305
0.989,-0.016689
0.99,-0.02414
0.991,-0.0301
0.992,-0.0301
0.993,-0.027418
0.994,-0.031888
0.995,-0.039041
0.996,-0.036061
0.997,-0.029802
0.998,-0.030994
0.999,-0.030398
1.0,-0.026822
1.001,-0.019073
1.002,-0.0056624
1.003,-0.0089407
1.004,-0.01967
1.005,-0.024438
1.006,-0.023544
1.007,-0.025332
1.008,-0.041425
1.009,-0.047684
1.01,-0.053942
1.011,-0.062883
1.012,-0.062585
1.013,-0.069141
1.014,-0.062883
